uid	taxid	organism	superkingdom	ph	temperature	pfam	lineage_identifiers	lineage_ranks	lineage_names
A0A0N1GNK6	1592327	Actinobacteria bacterium	Bacteria	NA	NA	PF00732, PF05199	1, 131567, 2, 1783272, 201174, 1760, 52018, 78537, 1592327	root, no rank, superkingdom, no rank, phylum, class, no rank, no rank, species	root, cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, unclassified Actinobacteria (class), unclassified Actinobacteria (class) (miscellaneous), Actinobacteria bacterium OK074
B8H6F9	452863	Pseudarthrobacter chlorophenolicus	Bacteria	NA	30.0	PF00732, PF05199	1, 131567, 2, 1783272, 201174, 1760, 85006, 1268, 1742993, 85085, 452863	root, no rank, superkingdom, no rank, phylum, class, order, family, genus, species, no rank	root, cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Micrococcales, Micrococcaceae, Pseudarthrobacter, Pseudarthrobacter chlorophenolicus, Pseudarthrobacter chlorophenolicus A6
J7LQA3	1118963	Arthrobacter sp.	Bacteria	7.15	29.0	PF00732, PF05199	1, 131567, 2, 1783272, 201174, 1760, 85006, 1268, 1663, 1118963	root, no rank, superkingdom, no rank, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Micrococcales, Micrococcaceae, Arthrobacter, Arthrobacter sp. Rue61a
J7LVS7	1118963	Arthrobacter sp.	Bacteria	7.15	29.0	PF00732, PF05199	1, 131567, 2, 1783272, 201174, 1760, 85006, 1268, 1663, 1118963	root, no rank, superkingdom, no rank, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Micrococcales, Micrococcaceae, Arthrobacter, Arthrobacter sp. Rue61a
Q0RGV3	326424	Frankia alni	Bacteria	NA	28.0	PF00732, PF05199	1, 131567, 2, 1783272, 201174, 1760, 85013, 74712, 1854, 1859, 326424	root, no rank, superkingdom, no rank, phylum, class, order, family, genus, species, no rank	root, cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Frankiales, Frankiaceae, Frankia, Frankia alni, Frankia alni ACN14a
A0A060V429	1667327	Klebsiella quasipneumoniae	Bacteria	7.0	34.0	NA	1, 131567, 2, 1224, 1236, 91347, 543, 570, 1463165, 1667327	root, no rank, superkingdom, phylum, class, order, family, genus, species, subspecies	root, cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Klebsiella, Klebsiella quasipneumoniae, Klebsiella quasipneumoniae subsp. quasipneumoniae
W8XI42	1463165	Klebsiella quasipneumoniae	Bacteria	7.0	34.0	NA	1, 131567, 2, 1224, 1236, 91347, 543, 570, 1463165	root, no rank, superkingdom, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Klebsiella, Klebsiella quasipneumoniae
A0A0I9NPR5	1438801	Klebsiella variicola	Bacteria	7.0	29.0	NA	1, 131567, 2, 1224, 1236, 91347, 543, 570, 244366, 1438801	root, no rank, superkingdom, phylum, class, order, family, genus, species, no rank	root, cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Klebsiella, Klebsiella variicola, Klebsiella variicola MGH 80
A0A0I9Q8P2	573	Klebsiella pneumoniae	Bacteria	7.07	34.0	NA	1, 131567, 2, 1224, 1236, 91347, 543, 570, 573	root, no rank, superkingdom, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Klebsiella, Klebsiella pneumoniae
I4EXQ4	477641	Modestobacter marinus	Bacteria	7.2	28.0	PF00732, PF05199	1, 131567, 2, 1783272, 201174, 1760, 1643682, 85030, 88138, 477641	root, no rank, superkingdom, no rank, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Geodermatophilales, Geodermatophilaceae, Modestobacter, Modestobacter marinus
I4EXS6	477641	Modestobacter marinus	Bacteria	7.2	28.0	PF00732, PF05199	1, 131567, 2, 1783272, 201174, 1760, 1643682, 85030, 88138, 477641	root, no rank, superkingdom, no rank, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Geodermatophilales, Geodermatophilaceae, Modestobacter, Modestobacter marinus
G4HXT0	931627	Mycolicibacterium rhodesiae	Bacteria	NA	NA	PF01266, PF05199	1, 131567, 2, 1783272, 201174, 1760, 85007, 1762, 1866885, 36814, 931627	root, no rank, superkingdom, no rank, phylum, class, order, family, genus, species, no rank	root, cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Corynebacteriales, Mycobacteriaceae, Mycolicibacterium, Mycolicibacterium rhodesiae, Mycolicibacterium rhodesiae JS60
Q8J2V8	40145	Tricholoma matsutake	Eukaryota	6.05	23.0	NA	1, 131567, 2759, 33154, 4751, 451864, 5204, 5302, 155619, 452333, 5338, 5351, 40144, 40145	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, subphylum, class, subclass, order, family, genus, species	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetidae, Agaricales, Tricholomataceae, Tricholoma, Tricholoma matsutake
G7HH71	1055524	Burkholderia cenocepacia	Bacteria	7.0	30.0	NA	1, 131567, 2, 1224, 28216, 80840, 119060, 32008, 87882, 95486, 1055524	root, no rank, superkingdom, phylum, class, order, family, genus, species group, species, no rank	root, cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia, Burkholderia cepacia complex, Burkholderia cenocepacia, Burkholderia cenocepacia H111
A0A0C4YFD9	68895	Cupriavidus basilensis	Bacteria	7.15	28.0	NA	1, 131567, 2, 1224, 28216, 80840, 119060, 106589, 68895	root, no rank, superkingdom, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Cupriavidus, Cupriavidus basilensis
B7QMD1	6945	Ixodes scapularis	Eukaryota	NA	NA	NA	1, 131567, 2759, 33154, 33208, 6072, 33213, 33317, 1206794, 88770, 6656, 6843, 6854, 6933, 6934, 6935, 297308, 6939, 426442, 6944, 6945	root, no rank, superkingdom, no rank, kingdom, no rank, no rank, no rank, no rank, no rank, phylum, subphylum, class, subclass, superorder, order, superfamily, family, subfamily, genus, species	root, cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Chelicerata, Arachnida, Acari, Parasitiformes, Ixodida, Ixodoidea, Ixodidae, Ixodinae, Ixodes, Ixodes scapularis
M5F6A5	1297570	Mesorhizobium sp.	Bacteria	NA	30.0	NA	1, 131567, 2, 1224, 28211, 356, 69277, 68287, 1297570	root, no rank, superkingdom, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Phyllobacteriaceae, Mesorhizobium, Mesorhizobium sp. STM 4661
Q9AJD6	69367	Microbacterium luteolum	Bacteria	7.3	30.0	NA	1, 131567, 2, 1783272, 201174, 1760, 85006, 85023, 33882, 69367	root, no rank, superkingdom, no rank, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Micrococcales, Microbacteriaceae, Microbacterium, Microbacterium luteolum
A0A0U1CBT0	36809	Mycobacteroides abscessus	Bacteria	NA	NA	NA	1, 131567, 2, 1783272, 201174, 1760, 85007, 1762, 670516, 36809	root, no rank, superkingdom, no rank, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Corynebacteriales, Mycobacteriaceae, Mycobacteroides, Mycobacteroides abscessus
A0A0D6IYV5	1772	Mycolicibacterium smegmatis	Bacteria	NA	NA	NA	1, 131567, 2, 1783272, 201174, 1760, 85007, 1762, 1866885, 1772	root, no rank, superkingdom, no rank, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Corynebacteriales, Mycobacteriaceae, Mycolicibacterium, Mycolicibacterium smegmatis
M4UHN0	1262456	Ralstonia solanacearum	Bacteria	7.0	29.0	NA	1, 131567, 2, 1224, 28216, 80840, 119060, 48736, 305, 1262456	root, no rank, superkingdom, phylum, class, order, family, genus, species, no rank	root, cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Ralstonia, Ralstonia solanacearum, Ralstonia solanacearum FQY_4
Q5NT46	381	Mesorhizobium loti	Bacteria	7.0	26.0	NA	1, 131567, 2, 1224, 28211, 356, 69277, 68287, 381	root, no rank, superkingdom, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Phyllobacteriaceae, Mesorhizobium, Mesorhizobium loti
A5LGE0	51926	[candida] sonorensis	Eukaryota	NA	NA	NA	1, 131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 4891, 4892, 1156497, 461281, 1540042, 51926	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, no rank, subphylum, class, order, family, genus, no rank, species	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Saccharomycetes, Saccharomycetales, Pichiaceae, Ogataea, Ogataea/Candida clade, [Candida] sonorensis
